iter	Passed	Remaining
399	27485	41228
400	27590	41214
401	27702	41209
402	27776	41147
403	27850	41086
404	27922	41022
405	27992	40955
406	28059	40882
407	28134	40822
408	28213	40768
409	28293	40714
410	28369	40655
411	28451	40605
412	28527	40546
413	28601	40484
414	28709	40470
415	28785	40410
416	28860	40349
417	28929	40280
418	29002	40215
419	29076	40153
420	29150	40091
421	29223	40026
422	29296	39961
423	29369	39897
424	29440	39830
425	29510	39762
426	29586	39702
427	29658	39636
428	29730	39571
429	29803	39507
430	29876	39442
431	29950	39379
432	30020	39311
433	30094	39247
434	30165	39179
435	30239	39117
436	30311	39051
437	30386	38989
438	30460	38924
439	30530	38857
440	30601	38789
441	30672	38722
442	30748	38661
443	30824	38600
444	30899	38537
445	30973	38473
446	31049	38412
447	31124	38349
448	31202	38290
449	31279	38230
450	31352	38165
451	31426	38101
452	31501	38037
453	31600	38003
454	31670	37935
455	31740	37866
456	31808	37794
457	31885	37733
458	31957	37666
459	32107	37690
460	32179	37623
461	32253	37559
462	32323	37489
463	32394	37421
464	32470	37358
465	32541	37290
466	32612	37222
467	32685	37154
468	32756	37087
469	32825	37015
470	32897	36948
471	32969	36881
472	33044	36816
473	33116	36749
474	33187	36681
475	33261	36615
476	33336	36551
477	33407	36482
478	33480	36415
479	33551	36347
480	33623	36279
481	33700	36217
482	33772	36149
483	33845	36082
484	33917	36015
485	33989	35947
486	34059	35877
487	34131	35809
488	34228	35768
489	34300	35700
490	34373	35633
491	34446	35566
492	34519	35499
493	34591	35432
494	34662	35362
495	34735	35295
496	34806	35227
497	34881	35161
498	34951	35091
499	35022	35022
500	35097	34956
501	35165	34885
502	35237	34816
503	35312	34751
504	35389	34688
505	35469	34628
506	35545	34563
507	35622	34500
508	35700	34438
509	35776	34373
510	35848	34305
511	35920	34236
512	35992	34168
513	36071	34106
514	36142	34037
515	36214	33968
516	36287	33900
517	36358	33831
518	36434	33766
519	36508	33699
520	36583	33634
521	36662	33571
522	36740	33509
523	36838	33464
524	36915	33399
525	36987	33330
526	37060	33263
527	37134	33195
528	37202	33123
529	37269	33049
530	37341	32981
531	37416	32915
532	37487	32845
533	37561	32778
534	37637	32712
535	37718	32652
536	37794	32586
537	37875	32525
538	37954	32462
539	38042	32406
540	38230	32435
541	38308	32371
542	38387	32307
543	38462	32240
544	38531	32168
545	38600	32096
546	38678	32031
547	38750	31962
548	38817	31888
549	38886	31815
550	38958	31746
551	39034	31680
552	39107	31611
553	39178	31541
554	39248	31469
555	39317	31397
556	39415	31348
557	39495	31285
558	39582	31227
559	39662	31163
560	39738	31096
561	39817	31031
562	39895	30966
563	39974	30902
564	40049	30834
565	40123	30766
566	40197	30697
567	40277	30633
568	40432	30626
569	40512	30561
570	40586	30493
571	40658	30422
572	40732	30353
573	40808	30286
574	40879	30215
575	40948	30142
576	41021	30072
577	41094	30003
578	41167	29933
579	41240	29864
580	41317	29797
581	41388	29725
582	41473	29664
583	41543	29592
584	41644	29542
585	41719	29474
586	41794	29405
587	41885	29348
588	42031	29329
