Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
-0.278076,-1.067749,-0.123047,-3.723144,-10.253905,7.690429
-0.137573,-1.039795,-0.053711,-12.817382,-15.747069,11.596679
-0.197510,-0.893555,-0.033325,-25.085447,-14.953612,7.202148
-0.112427,-0.777954,-0.007568,-41.076656,11.291503,1.403808
-0.053101,-0.714844,0.057739,-36.865234,39.978027,-15.258788
-0.184448,-0.613281,0.022461,-29.541014,15.747069,-5.493164
-0.078613,-0.889038,0.112061,7.263183,11.169433,-3.845215
-0.286987,-0.981812,0.269897,4.089355,19.897461,6.408691
-0.337402,-1.023560,0.191162,-8.056641,42.358395,24.475096
0.027100,-0.935059,0.131714,3.723144,65.795898,12.695312
0.100952,-0.769897,-0.041382,23.559568,-36.010742,-16.296387
-0.045776,-0.791870,0.080200,31.921385,6.286621,-9.277344
-0.231812,-0.937744,0.079224,17.883301,7.385253,-8.422852
-0.153076,-0.992676,-0.011475,17.761230,4.516602,-0.549316
-0.249268,-1.029541,-0.027222,-0.915527,-8.483887,-4.516602
-0.294678,-0.948853,0.058838,0.976562,3.662109,-1.403808
-0.186035,-0.963745,-0.043335,-2.624511,10.437011,-4.272461
-0.217407,-0.958008,-0.034180,-4.150391,5.920410,-0.183105
-0.184326,-0.954102,0.057495,7.141113,3.906250,-9.826660
-0.244263,-1.060425,-0.001343,4.699707,-4.150391,-3.173828
-0.345825,-1.041016,-0.126099,9.826660,-2.197266,-0.305176
-0.263794,-0.975830,-0.006348,1.770019,-2.136230,-13.916015
-0.210327,-1.116333,0.032227,-2.075195,-20.141600,-16.845703
0.134277,-0.444946,0.108032,-5.981445,-5.615234,25.329588
-0.081055,-0.686279,0.086792,13.061522,-8.361816,-22.338865
-0.439697,-1.000732,-0.130981,-5.432128,-6.652832,-1.892090
-0.284058,-0.910889,-0.077148,-8.728027,5.310058,1.098633
-0.266235,-0.970581,-0.186890,0.732422,-19.470215,-5.615234
-0.292114,-0.822144,-0.129028,-12.878417,-4.638672,8.789063
-0.338379,-1.018677,-0.032104,-17.700195,5.798339,10.986327
-0.359619,-0.905396,0.031372,-12.084960,22.216795,10.009766
-0.400757,-1.088013,-0.220459,7.690429,2.746582,-1.464844
-0.252197,-1.129639,-0.111084,1.953125,27.221678,14.099120
-0.196411,-1.160400,0.234619,-5.187988,20.202635,10.681151
-0.211426,-1.044678,0.217285,-4.455566,9.338379,9.582520
-0.277954,-1.006104,0.039673,7.263183,-12.390136,2.746582
-0.313477,-1.183594,-0.093018,6.958007,-18.615723,6.774902
-0.278564,-1.113525,-0.054321,3.112793,-0.488281,13.183593
-0.200073,-0.882812,0.011475,-8.544922,13.916015,8.361816
-0.115112,-0.788086,0.143188,-18.249512,-2.380371,11.413573
-0.174561,-0.836060,0.019409,-32.104492,5.126953,-0.732422
