Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
-0.150146,-0.924438,-0.256470,-15.747069,-22.216795,3.967285
-0.467285,-0.914429,-0.468628,68.298340,-2.929687,12.084960
-0.347778,-1.034546,-0.061890,-31.188963,7.263183,-14.831542
-0.323608,-1.004272,-0.227661,-30.700682,19.409180,13.183593
-0.353027,-1.191650,-0.352661,-27.526854,27.648924,17.028809
-0.335571,-0.830078,-0.084473,-25.573729,6.469726,0.427246
-0.324219,-0.830444,-0.086182,-32.775879,23.986814,-1.708984
-0.298462,-0.809082,-0.112427,-21.728514,6.164550,-0.366211
-0.280273,-0.766968,-0.137695,-20.141600,5.615234,-4.760742
-0.298340,-0.731445,-0.016357,-18.920898,11.779784,1.708984
-0.260864,-0.658447,0.037476,-20.507811,22.583006,-0.793457
-0.170898,-0.684570,0.018433,3.662109,-17.700195,-7.019042
-0.416626,-0.936401,-0.089722,19.592285,-42.663570,-2.685547
-0.425659,-1.048218,0.054443,7.263183,-6.835937,1.342773
-0.346069,-0.845093,0.160522,-4.211426,4.638672,-5.554199
-0.316895,-0.876709,-0.001465,4.638672,-7.812500,-1.953125
-0.325439,-0.964478,-0.034302,5.554199,-7.202148,1.586914
-0.338623,-0.816406,0.154541,1.647949,0.976562,-4.821777
-0.304077,-0.830688,0.077637,7.202148,-2.929687,0.732422
-0.299805,-0.810059,-0.020508,10.498046,-2.563476,2.624511
-0.239990,-0.817871,-0.070679,19.897461,-6.530761,6.225585
-0.187134,-0.945923,-0.088867,29.418943,-16.479492,12.451171
-0.256470,-1.201172,-0.265747,21.240232,-24.902342,16.113281
-0.365356,-1.134521,-0.293457,-43.029781,-4.760742,1.098633
-0.343018,-0.840332,-0.079590,-15.747069,14.465331,1.037598
-0.360474,-0.724976,-0.073242,-7.934570,2.624511,-18.188477
-0.300781,-0.905518,-0.142944,6.286621,6.225585,-14.465331
-0.461670,-1.016235,-0.265259,19.897461,-14.343261,-47.485348
-0.414551,-1.008301,-0.167603,-36.743164,12.023925,-126.647942
-1.225830,-0.829834,0.313232,5.432128,44.311520,-110.656731
-0.003174,-0.991699,-0.151001,-31.066893,14.953612,56.579586
-1.001709,-0.473267,0.111206,54.077145,-40.771481,-100.463860
-0.651001,-0.815186,-0.184326,4.455566,-3.479004,8.483887
-0.376709,-0.897949,0.008789,-29.479979,-20.080564,10.375976
-0.512573,-0.870483,0.019287,-20.812986,-75.378418,7.751464
-0.630615,-0.696533,-0.178833,13.916015,-27.465818,16.479492
-0.838745,-0.727661,-0.196777,10.681151,-25.634764,15.380858
-0.480347,-0.847168,-0.177368,4.028320,30.334471,43.151852
-0.440308,-0.966309,-0.153564,9.765625,-0.183105,23.437498
-0.597168,-1.137085,-0.283813,-17.089844,-29.296873,37.475586
-0.622925,-1.095703,-0.360962,28.686522,12.878417,-0.915527
-0.520752,-1.085449,-0.283813,2.319336,20.751951,10.009766
-0.383667,-0.981689,-0.087769,-17.028809,8.911133,12.695312
-0.493530,-0.966675,-0.325073,-16.906738,-1.464844,4.150391
-0.415161,-1.016479,-0.297241,-17.578125,-2.258301,-0.122070
-0.395264,-0.837036,-0.201172,-21.911619,5.432128,-3.845215
-0.297729,-0.698120,-0.115479,-31.127928,13.610839,0.488281
-0.260986,-0.613037,-0.062134,-30.700682,9.155273,-9.277344
-0.267578,-0.750122,-0.032715,-18.432617,-11.962890,7.629394
-0.508667,-1.063477,-0.026123,-0.854492,4.333496,7.385253
-0.545044,-0.801147,-0.006470,11.352538,0.244141,2.014160
-0.492432,-0.879272,0.106323,-10.314940,5.065917,-4.516602
-0.503906,-0.828369,0.020630,6.042480,-11.352538,-2.502441
-0.486694,-0.883545,-0.060425,18.371582,-10.620116,6.042480
-0.460693,-0.941772,-0.015503,5.249023,-14.526366,-0.732422
-0.414185,-0.772217,0.008789,-0.854492,-3.784179,-2.014160
-0.447510,-0.837646,-0.063232,0.427246,-7.507324,1.831055
-0.338989,-0.721069,-0.107910,8.117676,-12.817382,0.976562
-0.385132,-0.764404,-0.006592,12.145995,7.751464,6.958007
-0.344116,-0.913818,-0.111328,1.464844,-21.057127,1.586914
-0.311646,-1.031250,-0.338745,-14.221190,8.178711,10.375976
-0.377075,-0.860962,-0.078491,-8.666992,14.282226,-1.525879
-0.531372,-0.763184,-0.131348,-12.145995,12.634276,-10.253905
-0.376587,-0.877930,-0.132446,21.728514,8.666992,8.178711
-0.432983,-0.917969,-0.240356,25.268553,-18.188477,4.211426
-0.443970,-0.928589,-0.189819,0.244141,-14.160155,1.708984
-0.452026,-1.152710,-0.299194,22.033689,2.075195,23.925779
-0.326172,-1.853271,-1.575928,134.948730,42.907711,238.098129
-0.122803,-0.926880,-0.489380,144.226074,93.139641,28.991697
-0.379639,-0.686890,-0.282227,-50.537106,-22.705076,-40.344234
-0.480957,-0.935425,-0.111572,6.591796,5.554199,2.624511
-0.419312,-0.908203,-0.204712,-6.042480,-31.372068,-19.226074
-0.043335,-1.075439,-0.161987,-10.864257,8.911133,14.038085
-0.639282,-0.757568,-0.042725,-3.784179,-22.888182,-16.723633
-0.223999,-0.825195,-0.457397,18.554687,-80.627434,-3.356933
-0.199463,-1.025024,-0.140991,-5.371093,5.432128,-3.540039
-0.213379,-1.073608,-0.463501,16.845703,-4.760742,6.286621
-0.451538,-1.008789,-0.185181,5.493164,5.432128,3.417969
-0.449829,-1.169556,-0.409668,-16.845703,-1.647949,3.723144
-0.373901,-0.925415,-0.325439,-9.521484,7.751464,-10.131835
-0.350830,-0.958008,-0.288574,-7.812500,19.165039,-3.784179
-0.309570,-1.074219,-0.261719,-11.962890,16.662598,6.774902
-0.293945,-0.887207,-0.228394,1.525879,-3.479004,-4.394531
-0.326294,-0.979980,-0.319214,-0.061035,-5.920410,4.028320
-0.331055,-0.983643,-0.297974,-22.033689,1.586914,2.380371
-0.247681,-0.738525,-0.113037,-46.142574,16.662598,-3.173828
-0.156372,-0.522949,0.006348,-28.869627,37.780762,-1.647949
-0.102661,-0.731567,-0.072754,-42.297359,2.136230,-5.493164
-0.462646,-0.830078,0.015869,9.216309,-11.047362,-5.065917
-0.361816,-0.916626,-0.032715,-5.432128,-7.629394,-1.159668
-0.332275,-0.961304,0.007690,-4.516602,-2.624511,0.305176
-0.406494,-0.989502,-0.025757,-7.324218,0.427246,-0.122070
-0.382935,-0.849731,0.084229,-3.601074,4.150391,-3.173828
-0.363525,-0.801758,0.035889,11.962890,-3.601074,2.197266
-0.395264,-0.903198,0.012939,23.132322,-11.657714,13.549804
-0.352539,-0.933716,-0.045898,13.793944,-11.535644,-2.563476
-0.353271,-0.821533,-0.056152,13.671874,-18.371582,-3.051758
-0.341064,-0.656494,-0.083862,-4.516602,-7.263183,-12.390136
-0.274780,-0.710205,-0.136475,-11.230468,3.723144,-18.371582
-0.393799,-0.481201,0.113647,-51.574703,-10.314940,-21.301268
-0.385864,-0.707275,-0.210083,26.428221,12.329101,0.793457
-0.333374,-0.822266,-0.265625,52.917477,30.029295,14.404296
-0.304688,-1.015747,-0.315674,41.015621,11.535644,19.226074
-0.415527,-1.015625,-0.420654,13.000487,-12.268065,8.544922
