Time,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
12801,0.227173,-0.903564,0.255127,10.009766,-1.403808,-1.342773
12917,0.216064,-0.929687,0.264038,10.742187,-5.065917,0.732422
13033,0.187744,-0.908569,0.274048,10.620116,1.953125,-2.197266
13149,0.183594,-0.904419,0.234253,3.540039,-7.995605,-3.723144
13265,0.237793,-0.967041,0.186646,12.878417,-1.953125,-3.784179
13381,0.173584,-0.896118,0.143677,15.86914,-14.892577,-6.408691
13497,0.219604,-0.84436,0.170532,23.986814,-12.390136,-0.549316
13613,0.189819,-0.891968,0.190186,12.817382,-7.995605,4.577637
13729,0.133545,-1.016968,0.097168,-22.460936,-29.96826,1.281738
13845,0.140259,-0.909912,0.041748,-0.427246,4.699707,2.13623
13961,0.115967,-0.955933,0.045044,12.756347,0.061035,5.92041
14077,0.181641,-1.029053,0.160645,9.216309,13.549804,-2.624511
14193,0.191406,-0.935913,0.164673,7.324218,9.58252,-3.356933
14309,0.200195,-1.039429,0.134155,-4.333496,-1.037598,-3.601074
14425,0.197754,-0.990112,0.088379,-7.629394,5.92041,-5.004883
14541,0.229614,-1.064819,0.052612,-0.244141,-1.281738,2.258301
14657,0.197632,-1.053101,0.081543,14.465331,13.427733,1.708984
14773,0.190186,-0.997314,0.117676,4.699707,7.446289,0.854492
14889,0.172241,-1.006714,0.115845,-3.845215,12.817382,3.845215
15005,0.188843,-0.982544,0.101196,-5.249023,11.718749,4.577637
15121,0.171387,-1.000732,0.111328,-4.455566,8.300781,2.746582
15237,0.224487,-1.001587,0.108398,-0.732422,1.708984,-1.342773
15353,0.272461,-0.996948,0.094849,0.244141,5.065917,-2.685547
15469,0.209595,-0.956299,0.147217,-0.915527,9.338379,-2.502441
15585,0.183838,-0.982788,0.098145,-2.01416,-1.464844,-2.01416
15701,0.18811,-0.972656,0.072144,-6.103515,-6.469726,0.366211
15817,0.239746,-1.139771,-0.089722,5.737304,-17.150879,7.751464
15933,0.23999,-1.123291,0.038086,20.202635,20.568846,-0.12207
16049,0.262207,-1.166504,0.11731,16.601562,-0.244141,0.244141
16165,0.350464,-1.180542,0.112183,17.211914,28.564451,-3.540039
16281,0.240234,-1.077393,0.021606,-6.408691,-9.82666,2.01416
16397,0.242432,-0.898926,-0.007324,-24.902342,-36.682129,9.70459
16513,0.194946,-0.794189,0.068115,-18.859863,-1.770019,5.187988
